time,open,high,low,close,Basis,Upper,Lower,Plot,Plot,Shapes,Shapes,Basis,Upper,Lower,Volume,Vwap midle Line,Plot,RSI Color,Regular Bullish,Regular Bullish Label,Hidden Bullish,Hidden Bullish Label,Regular Bearish,Regular Bearish Label,Hidden Bearish,Hidden Bearish Label,Infinity Reversal Line,Volume EMA,Infinty X Trend
2019-09-08T15:00:00+03:00,10000,10412.65,10000,10391.63,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,3096.291,50,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,102,99,96
2019-09-09T03:00:00+03:00,10316.62,10475.54,10077.22,10414.6,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,5910.723,50,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,102,99,96
2019-09-09T15:00:00+03:00,10411.7,10420.65,10183.31,10307,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,8913.65,50,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,102,99,96
2019-09-10T03:00:00+03:00,10307,10382.97,10206.87,10254.56,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,4662.539,50,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,102,99,96
2019-09-10T15:00:00+03:00,10252.7,10270.58,9940.87,10102.02,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,4406.416,50,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,102,99,96
2019-09-11T03:00:00+03:00,10094.27,10293.11,9884.31,10070.53,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,3826.149,50,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,102,99,96
2019-09-11T15:00:00+03:00,10062.34,10184.66,9934.11,10159.55,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,7071.773,50,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,102,99,96
2019-09-12T03:00:00+03:00,10163.06,10205.46,10042.12,10170.93,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,7738.435,50,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,102,99,96
2019-09-12T15:00:00+03:00,10170,10450.13,10170,10415.13,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,7871.199,50,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,102,99,96
2019-09-13T03:00:00+03:00,10414.96,10440.55,10251.99,10306.52,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,9417.259,50,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,102,99,96
2019-09-13T15:00:00+03:00,10306.52,10355.85,10153.51,10341.34,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,9835.462,50,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,102,99,96
2019-09-14T03:00:00+03:00,10343.01,10353.72,10259.75,10291.93,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,9608.47,50,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,102,99,96
2019-09-14T15:00:00+03:00,10292.13,10419.97,10222.77,10332.25,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,11048.154,50,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,102,99,96
2019-09-15T03:00:00+03:00,10333.47,10359.2,10024.81,10296.63,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,9808.772,50,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,102,99,96
2019-09-15T15:00:00+03:00,10296.54,10332.61,10252.28,10302.22,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,10727.483,50,NaN,45.46607032383039,NaN,NaN,NaN,NaN,45.46607032383039,NaN,45.46607032383039,NaN,102,99,96
2019-09-16T03:00:00+03:00,10302,10353.81,10275.74,10282.74,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,9735.073,50,NaN,44.51888150884016,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,102,99,96
2019-09-16T15:00:00+03:00,10282.03,10329.38,10080.7,10249.27,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,10450.564,50,NaN,42.86646965163809,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,102,99,96
2019-09-17T03:00:00+03:00,10257.3,10261.36,10136.77,10163,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,11200.586,50,NaN,38.86247672089881,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,102,99,96
2019-09-17T15:00:00+03:00,10162.7,10270.63,10151.62,10186.52,NaN,NaN,NaN,NaN,NaN,0,0,10259.7245,10455.06319155653,10064.38580844347,11319.021,50,NaN,40.494384960742586,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,102,99,96
2019-09-18T03:00:00+03:00,10183.87,10256.65,10150,10156.12,NaN,NaN,NaN,NaN,NaN,0,0,10247.901,10438.4396012231,10057.362398776899,10262.499,50,NaN,39.04374282761291,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,102,99,96
2019-09-18T15:00:00+03:00,10156.7,10212.25,10097.92,10155.16,NaN,NaN,NaN,NaN,NaN,0,0,10219.996000000001,10461.390779761194,9978.601220238808,10570.396,50,NaN,38.996234418772644,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,102,99,96
2019-09-19T03:00:00+03:00,10154.7,10185.55,9530.02,9856.5,NaN,NaN,NaN,NaN,NaN,0,0,10216.911,10455.338116905661,9978.483883094339,12408.707,50,NaN,27.702667266020228,27.702667266020228,NaN,27.702667266020228,NaN,NaN,NaN,NaN,NaN,102,99,96
2019-09-19T15:00:00+03:00,9856.5,10331.62,9845.11,10245.3,NaN,NaN,NaN,NaN,NaN,0,0,10212.869,10451.346969791593,9974.391030208408,13820.047,50,NaN,48.57997963839795,NaN,NaN,NaN,NaN,48.57997963839795,NaN,48.57997963839795,48.57997963839795,102,99,96
2019-09-20T03:00:00+03:00,10247.7,10279.3,10121.3,10173.72,NaN,NaN,NaN,NaN,NaN,0,0,10216.0855,10450.191591119154,9981.979408880845,11391.71,50,NaN,45.949223388294364,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,102,99,96
2019-09-20T15:00:00+03:00,10172.45,10236.19,10070.5,10166.35,NaN,NaN,NaN,NaN,NaN,0,0,10214.889,10452.181481288371,9977.596518711627,11874.2,50,NaN,45.67496370478047,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,102,99,96
2019-09-21T03:00:00+03:00,10166.56,10175.3,9963.02,10046.6,NaN,NaN,NaN,NaN,NaN,0,0,10206.078,10463.193965867624,9948.962034132375,12303.605,50,NaN,41.355680469234095,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,102,99,96
2019-09-21T15:00:00+03:00,10046.6,10067,9912.63,9983.33,NaN,NaN,NaN,NaN,NaN,0,0,10197.623,10469.503570331926,9925.742429668073,11338.782,50,NaN,39.244066753283086,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,102,99,96
2019-09-22T03:00:00+03:00,9992.7,10089.52,9857,10001.83,NaN,NaN,NaN,NaN,NaN,0,0,10178.0185,10440.726864181695,9915.310135818305,12107.998,50,NaN,40.20545638901855,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,102,99,96
2019-09-22T15:00:00+03:00,10000.53,10073.46,9932.01,10023.04,NaN,NaN,NaN,NaN,NaN,0,0,10158.447,10437.744802146706,9879.149197853294,11808.356,50,NaN,41.35129328616355,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,102,99,96
2019-09-23T03:00:00+03:00,10027.69,10046.91,9878.51,9915.09,NaN,NaN,NaN,NaN,NaN,0,0,10126.478,10456.486031393253,9796.469968606745,12034.668,50,NaN,37.420849811504276,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,102,99,96
2019-09-23T15:00:00+03:00,9914.11,9951.05,9620,9701.96,NaN,NaN,NaN,NaN,NaN,0,0,10098.186,10461.904007494835,9734.467992505164,19892.394,50,NaN,31.12965194476166,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,102,99,96
2019-09-24T03:00:00+03:00,9701.1,9792.83,9603.5,9726.09,NaN,NaN,NaN,NaN,NaN,0,0,10006.365000000002,10781.683104870423,9231.04689512958,10870.862,50,NaN,32.51301803486744,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,102,99,96
2019-09-24T15:00:00+03:00,9725.67,9729.07,7761.75,8495.83,NaN,NaN,NaN,NaN,NaN,0,0,9907.9025,10961.12900940575,8854.67599059425,63593.578,50,NaN,15.461169718839386,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,102,99,96
2019-09-25T03:00:00+03:00,8493.32,8725.24,8200,8327.38,NaN,NaN,NaN,NaN,NaN,0,0,9814.295,11030.821672679216,8597.768327320784,23587.568,50,NaN,14.35131847573372,14.35131847573372,NaN,14.35131847573372,NaN,NaN,NaN,NaN,NaN,102,99,96
2019-09-25T15:00:00+03:00,8324.27,8628.44,8223.71,8430.07,NaN,NaN,NaN,NaN,NaN,0,0,9719.511999999999,11063.945808197383,8375.078191802615,24634.534,50,NaN,18.205976200066175,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,102,99,96
2019-09-26T03:00:00+03:00,8428.15,8464.4,8316.61,8387.08,NaN,NaN,NaN,NaN,NaN,0,0,9610.056,11111.43787766336,8108.674122336641,10920.141,50,NaN,17.84391722837384,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,102,99,96
2019-09-26T15:00:00+03:00,8387,8438.88,7700.67,8060.15,NaN,NaN,NaN,NaN,NaN,0,0,9501.31,11135.891471814744,7866.728528185255,49145.804,50,NaN,15.344740817599202,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,102,99,96
2019-09-27T03:00:00+03:00,8061.98,8128.78,7940.37,7988.08,NaN,NaN,NaN,NaN,NaN,0,0,9400.81,11100.388403016474,7701.231596983526,14953.35,50,NaN,14.850947391821677,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,102,99,96
2019-09-27T15:00:00+03:00,7984.71,8260,7851.94,8176.52,NaN,NaN,NaN,NaN,NaN,0,0,9299.6655,11047.492459552628,7551.83854044737,25081.303,50,NaN,21.925488563121164,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,102,99,96
2019-09-28T03:00:00+03:00,8178.26,8243.54,8120.02,8133.23,NaN,NaN,NaN,NaN,NaN,0,0,9201.676499999998,10966.331375393816,7437.02162460618,9959.343,50,NaN,21.483887110407792,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,102,99,96
2019-09-28T15:00:00+03:00,8132.68,8311,8001.14,8195.38,NaN,NaN,NaN,NaN,NaN,0,0,9112.5075,10915.608045869529,7309.406954130471,23861.576,50,NaN,23.855045557356902,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,102,99,96
2019-09-29T03:00:00+03:00,8199,8226.35,8031.34,8073.12,NaN,NaN,NaN,NaN,NaN,0,0,9002.3405,10784.248221319753,7220.432778680248,12764.081,50,NaN,22.420622079182607,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,102,99,96
2019-09-29T15:00:00+03:00,8072.89,8127.06,7888.98,8041.96,NaN,NaN,NaN,NaN,NaN,0,0,8895.3935,10639.599096164344,7151.187903835657,23201.975,50,NaN,22.05659528583378,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,102,99,96
2019-09-30T03:00:00+03:00,8042.08,8094.48,7709.01,8034.78,NaN,NaN,NaN,NaN,NaN,0,0,8801.367999999999,10462.131376277344,7140.604623722653,31746.761,50,NaN,21.96808584696602,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,102,99,96
2019-09-30T15:00:00+03:00,8033.48,8331.89,7982.08,8285.84,NaN,NaN,NaN,NaN,NaN,0,0,8716.687999999998,10284.979557174269,7148.396442825729,22665.759,50,NaN,32.21150345462621,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,102,99,96
2019-10-01T03:00:00+03:00,8285.31,8499,8171,8353,NaN,NaN,NaN,NaN,NaN,0,0,8632.021499999999,10097.081526774025,7166.961473225972,16380.243,50,NaN,34.68166617157871,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,102,99,96
2019-10-01T15:00:00+03:00,8350.14,8494.49,8225.03,8290,NaN,NaN,NaN,NaN,NaN,0,0,8544.708499999999,9874.736591136065,7214.680408863932,22832.561,50,NaN,33.45030846483475,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,102,99,96
2019-10-02T03:00:00+03:00,8290,8325.4,8149.35,8255.57,NaN,NaN,NaN,NaN,NaN,0,0,8461.163499999999,9606.318238789061,7316.008761210936,13254.104,50,NaN,32.765634184333976,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,102,99,96
2019-10-02T15:00:00+03:00,8256.32,8365.92,8177.29,8352.14,NaN,NaN,NaN,NaN,NaN,0,0,8376.172,9309.873455639854,7442.470544360147,17075.075,50,NaN,36.680452247348434,NaN,NaN,NaN,NaN,36.680452247348434,NaN,36.680452247348434,NaN,102,99,96
2019-10-03T03:00:00+03:00,8353.4,8386,8184.91,8215.26,NaN,NaN,NaN,NaN,NaN,0,0,8302.0875,9011.427107124156,7592.747892875842,12766.12,50,NaN,33.68641300582392,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,102,99,96
2019-10-03T15:00:00+03:00,8215.49,8274.59,8020,8220.27,NaN,NaN,NaN,NaN,NaN,0,0,8223.0335,8501.498188553258,7944.568811446742,20664.11,50,NaN,33.89908616520829,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,102,99,96
2019-10-04T03:00:00+03:00,8219.95,8227.42,7979.95,8145.01,NaN,NaN,NaN,NaN,NaN,0,0,8204.77,8455.837808768767,7953.702191231233,16124.256,50,NaN,32.2270638340774,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,102,99,96
2019-10-04T15:00:00+03:00,8146.18,8208.88,8117.04,8130.56,NaN,NaN,NaN,NaN,NaN,0,0,8192.288999999999,8442.552079090914,7942.025920909085,12296.855,50,NaN,31.901709678953154,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,102,99,96
2019-10-05T03:00:00+03:00,8130,8144.44,8066,8077.76,NaN,NaN,NaN,NaN,NaN,0,0,8176.892499999999,8403.519099398698,7950.2659006013,13913.264,50,NaN,30.68277343599236,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,102,99,96
2019-10-05T15:00:00+03:00,8077.75,8175,8010,8122.14,NaN,NaN,NaN,NaN,NaN,0,0,8154.424499999999,8382.33964074112,7926.509359258877,16348.742,50,55.766743848729035,33.00005876630544,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,102,99,96
